fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,mlb_id
3298,Charlie Culberson,bat,Culberson,Charlie,6257,Culberson,Charlie,9183,Culberson,Charlie,COL,2B/3B/SS,CULBERSON19890410A,518586
3299,Chris Hatcher,pit,Hatcher,Chris,6082,Hatcher,Chris,8806,Hatcher,Chris,MIA,RP,HATCHER19850112A,501822
3308,Jesus Delgado,pit,Delgado,Jesus,,,,,,,,,,445984
3310,Trent Oeltjen,bat,Oeltjen,Trent,,,,,,,,,,469721
3312,Martin Prado,bat,Prado,Martin,3959,Prado,Martin,7737,Prado,Martin,ARI,2B/3B/OF,PRADO19831027A,445988
3316,Alberto Castillo,pit,Castillo,Alberto,,,,,,,,,,441368
3319,Arturo Lopez,pit,Lopez,Arturo,,,,,,,,,,445995
3321,Darren O'Day,pit,O'Day,Darren,3613,O'Day,Darren,8207,O'Day,Darren,BAL,RP,ODAY19821022A,503285
3332,Jairo Asencio,pit,Asencio,Jairo,9090,Asencio,Jairo,8527,Asencio,Jairo,,RP,,446003
3336,Alberto Callaspo,bat,Callaspo,Alberto,740,Callaspo,Alberto,7832,Callaspo,Alberto,LAA,1B/2B/3B,CALLASPO19830419A,430948
3340,Matt Garza,pit,Garza,Matt,1727,Garza,Matt,7823,Garza,Matt,CHC,SP,GARZA19831111A,490063
3344,Mitchell Boggs,pit,Boggs,Mitchell,461,Boggs,Mitchell,8268,Boggs,Mitchell,STL,RP,BOGGS19840215A,459939
3353,Matt Joyce,bat,Joyce,Matt,2520,Joyce,Matt,8239,Joyce,Matt,TB,OF,JOYCE19840803A,459964
3355,Jon Meloan,pit,Meloan,Jon,,,,,,,,,,459974
3357,Cesar Ramos,pit,Ramos,Cesar,5682,Ramos,Cesar,8593,Ramos,Cesar,TB,RP/SP,RAMOS19840622A,459987
3359,Robert Ray,pit,Ray,Robert,,,,,,,,,,459988
3361,Gaby Sanchez,bat,Sanchez,Gaby,4410,Sanchez,Gaby,8385,Sanchez,Gaby,PIT,1B,,459991
3364,Miguel Montero,bat,Montero,Miguel,3367,Montero,Miguel,7865,Montero,Miguel,ARI,C,MONTERO19830709A,471083
3366,Anderson Hernandez,bat,Hernandez,Anderson,,,,,,,,,,435038
3367,Jeff Stevens,pit,Stevens,Jeff,,,,,,,,,,459999
3369,Juan Morillo,pit,Morillo,Juan,,,,,,,,,,434623
3371,Alejandro De Aza,bat,De Aza,Alejandro,1194,de Aza,Alejandro,7996,De Aza,Alejandro,CWS,OF,DEAZA19840411A,457477
3373,Clete Thomas,bat,Thomas,Clete,4932,Thomas,Clete,8203,Thomas,Clete,,CF/LF,,460004
3374,Ubaldo Jimenez,pit,Jimenez,Ubaldo,2427,Jimenez,Ubaldo,7900,Jimenez,Ubaldo,CLE,SP,JIMENEZ19840122A,434622
3376,Nick Hundley,bat,Hundley,Nick,2317,Hundley,Nick,8294,Hundley,Nick,SD,C,HUNDLEY19830908A,460026
3384,Jensen Lewis,pit,Lewis,Jensen,,,,,,,,,,460029
3387,Armando Gabino,pit,Gabino,Armando,,,,,,,,,,471803
3388,Chris Getz,bat,Getz,Chris,1746,Getz,Chris,8321,Getz,Chris,KC,2B,,460051
